Datetime,Close,High,Low,Open,Volume
2026-01-11 23:00:00+00:00,25894.0,25919.75,25879.75,25913.25,17190
2026-01-12 00:00:00+00:00,25788.5,25902.5,25772.75,25893.5,54314
2026-01-12 01:00:00+00:00,25778.0,25797.5,25723.5,25789.0,55775
2026-01-12 02:00:00+00:00,25747.75,25778.5,25731.0,25777.75,31109
2026-01-12 03:00:00+00:00,25737.75,25753.5,25710.0,25747.75,22476
2026-01-12 04:00:00+00:00,25729.0,25740.25,25715.0,25738.0,14750
2026-01-12 05:00:00+00:00,25699.0,25743.0,25677.25,25727.0,25894
2026-01-12 06:00:00+00:00,25717.5,25726.0,25696.5,25699.0,15812
2026-01-12 07:00:00+00:00,25731.5,25746.5,25715.5,25717.5,16575
2026-01-12 08:00:00+00:00,25660.0,25750.0,25632.75,25731.75,46922
2026-01-12 09:00:00+00:00,25698.0,25706.75,25659.5,25659.75,24823
2026-01-12 10:00:00+00:00,25708.0,25723.25,25686.5,25698.25,15555
2026-01-12 11:00:00+00:00,25719.0,25733.0,25705.5,25707.75,15327
2026-01-12 12:00:00+00:00,25753.5,25761.75,25713.25,25718.25,25494
2026-01-12 13:00:00+00:00,25743.5,25762.75,25727.5,25753.0,30222
2026-01-12 14:00:00+00:00,25901.0,25924.75,25719.75,25743.75,233848
2026-01-12 15:00:00+00:00,25916.0,25933.25,25863.5,25901.25,210115
2026-01-12 16:00:00+00:00,25960.5,25969.5,25901.25,25915.5,134212
2026-01-12 17:00:00+00:00,25968.25,25977.0,25938.5,25960.75,85836
2026-01-12 18:00:00+00:00,25978.5,25997.25,25965.0,25968.25,69565
2026-01-12 19:00:00+00:00,26014.75,26018.5,25962.0,25978.75,71992
2026-01-12 20:00:00+00:00,25952.0,26020.5,25950.5,26015.0,100807
2026-01-12 21:00:00+00:00,25942.25,25974.25,25932.75,25952.0,35948
2026-01-12 23:00:00+00:00,25895.75,25954.0,25893.5,25948.0,0
2026-01-13 00:00:00+00:00,25875.5,25899.75,25871.5,25896.0,21428
2026-01-13 01:00:00+00:00,25879.25,25891.0,25846.0,25875.0,26650
2026-01-13 02:00:00+00:00,25878.25,25897.25,25874.0,25879.25,19027
2026-01-13 03:00:00+00:00,25883.0,25892.75,25861.25,25878.25,14081
2026-01-13 04:00:00+00:00,25886.25,25891.75,25869.0,25883.5,11105
2026-01-13 05:00:00+00:00,25901.75,25907.5,25877.5,25881.5,13444
2026-01-13 06:00:00+00:00,25915.75,25932.75,25900.5,25901.75,15250
2026-01-13 07:00:00+00:00,25917.25,25925.75,25906.75,25916.0,10102
2026-01-13 08:00:00+00:00,25906.25,25926.5,25895.25,25916.75,17955
2026-01-13 09:00:00+00:00,25910.0,25937.25,25887.5,25906.25,18070
2026-01-13 10:00:00+00:00,25878.5,25914.5,25867.25,25909.5,17045
2026-01-13 11:00:00+00:00,25900.75,25901.25,25870.75,25878.5,17228
2026-01-13 12:00:00+00:00,25895.25,25919.25,25888.25,25900.5,20544
2026-01-13 13:00:00+00:00,25971.0,26046.25,25886.5,25895.0,94749
2026-01-13 14:00:00+00:00,25947.0,26043.0,25930.75,25970.75,267227
2026-01-13 15:00:00+00:00,25894.5,25971.25,25806.0,25946.25,385140
2026-01-13 16:00:00+00:00,26008.75,26026.0,25847.25,25894.5,199645
2026-01-13 17:00:00+00:00,25876.75,26018.0,25857.25,26008.5,175111
2026-01-13 18:00:00+00:00,25840.0,25911.25,25833.75,25876.25,150874
2026-01-13 19:00:00+00:00,25866.25,25885.5,25821.5,25840.25,133576
2026-01-13 20:00:00+00:00,25904.0,25912.25,25803.25,25866.25,138721
2026-01-13 21:00:00+00:00,25898.25,25926.75,25895.75,25904.25,30803
2026-01-13 23:00:00+00:00,25891.0,25914.0,25886.25,25900.0,0
2026-01-14 00:00:00+00:00,25907.0,25924.75,25883.25,25891.25,16429
2026-01-14 01:00:00+00:00,25886.0,25924.5,25878.75,25906.5,17034
2026-01-14 02:00:00+00:00,25893.75,25897.25,25873.0,25885.5,10992
2026-01-14 03:00:00+00:00,25915.0,25926.0,25889.5,25893.5,13382
2026-01-14 04:00:00+00:00,25882.5,25919.0,25873.25,25915.5,13970
2026-01-14 05:00:00+00:00,25855.75,25882.0,25852.5,25876.75,14467
2026-01-14 06:00:00+00:00,25859.75,25863.75,25835.5,25856.25,17243
2026-01-14 07:00:00+00:00,25862.5,25871.75,25848.5,25860.75,10798
2026-01-14 08:00:00+00:00,25857.75,25876.0,25840.25,25862.25,16095
2026-01-14 09:00:00+00:00,25851.75,25878.75,25836.0,25858.25,14486
2026-01-14 10:00:00+00:00,25737.0,25852.75,25711.5,25852.25,47319
