Datetime,Close,High,Low,Open,Volume
2025-12-16 01:00:00+00:00,27680.30078125,27740.66015625,27634.439453125,27721.099609375,0
2025-12-16 01:30:00+00:00,27529.890625,27697.140625,27519.98046875,27640.890625,0
2025-12-16 02:00:00+00:00,27527.279296875,27569.009765625,27498.279296875,27527.619140625,0
2025-12-16 02:30:00+00:00,27432.130859375,27566.5390625,27426.25,27526.01953125,0
2025-12-16 03:00:00+00:00,27403.259765625,27474.599609375,27355.669921875,27428.310546875,0
2025-12-16 03:30:00+00:00,27444.75,27484.650390625,27366.94921875,27401.689453125,0
2025-12-16 04:00:00+00:00,27573.5390625,27618.5703125,27429.01953125,27482.98046875,0
2025-12-16 04:30:00+00:00,27566.98046875,27617.91015625,27554.580078125,27614.650390625,0
2025-12-16 05:00:00+00:00,27631.400390625,27659.5703125,27546.359375,27565.869140625,0
2025-12-17 01:00:00+00:00,27690.599609375,27752.80078125,27569.98046875,27596.1796875,0
2025-12-17 01:30:00+00:00,27707.140625,27765.759765625,27644.140625,27646.140625,0
2025-12-17 02:00:00+00:00,27703.75,27754.189453125,27654.880859375,27707.48046875,0
2025-12-17 02:30:00+00:00,27704.5703125,27753.009765625,27651.990234375,27662.0390625,0
2025-12-17 03:00:00+00:00,27755.33984375,27770.6796875,27702.0703125,27745.5703125,0
2025-12-17 03:30:00+00:00,27734.7890625,27780.689453125,27709.9296875,27715.390625,0
2025-12-17 04:00:00+00:00,27649.150390625,27771.810546875,27644.380859375,27731.55078125,0
2025-12-17 04:30:00+00:00,27493.689453125,27689.029296875,27493.689453125,27648.400390625,0
2025-12-17 05:00:00+00:00,27491.66015625,27520.5703125,27469.599609375,27492.650390625,0
2025-12-18 01:00:00+00:00,27383.830078125,27459.1796875,27350.76953125,27447.44921875,0
2025-12-18 01:30:00+00:00,27492.650390625,27560.630859375,27375.83984375,27385.880859375,0
2025-12-18 02:00:00+00:00,27499.23046875,27540.640625,27414.259765625,27452.41015625,0
2025-12-18 02:30:00+00:00,27469.4296875,27569.439453125,27459.439453125,27498.8203125,0
2025-12-18 03:00:00+00:00,27373.310546875,27511.390625,27368.48046875,27469.310546875,0
2025-12-18 03:30:00+00:00,27405.640625,27416.5390625,27357.939453125,27411.650390625,0
2025-12-18 04:00:00+00:00,27383.05078125,27424.970703125,27358.5390625,27366.16015625,0
2025-12-18 04:30:00+00:00,27488.830078125,27496.080078125,27383.759765625,27383.759765625,0
2025-12-18 05:00:00+00:00,27442.970703125,27491.0703125,27396.279296875,27490.2890625,0
2025-12-19 01:00:00+00:00,27799.01953125,27841.91015625,27685.740234375,27685.740234375,0
2025-12-19 01:30:00+00:00,27841.94921875,27844.619140625,27774.029296875,27837.9609375,0
2025-12-19 02:00:00+00:00,27779.58984375,27869.779296875,27779.400390625,27802.19921875,0
2025-12-19 02:30:00+00:00,27759.48046875,27826.599609375,27751.5,27780.0390625,0
2025-12-19 03:00:00+00:00,27854.029296875,27855.2890625,27707.66015625,27759.6796875,0
2025-12-19 03:30:00+00:00,27817.689453125,27860.48046875,27761.310546875,27817.349609375,0
2025-12-19 04:00:00+00:00,27760.939453125,27826.7109375,27720.130859375,27814.080078125,0
2025-12-19 04:30:00+00:00,27715.3203125,27768.669921875,27672.05078125,27763.55078125,0
2025-12-19 05:00:00+00:00,27728.4609375,27774.44921875,27714.98046875,27714.98046875,0
2025-12-22 01:00:00+00:00,28040.9296875,28142.7890625,27986.66015625,27986.66015625,0
2025-12-22 01:30:00+00:00,28088.029296875,28091.26953125,28029.380859375,28041.26953125,0
2025-12-22 02:00:00+00:00,28082.1796875,28141.76953125,28039.7890625,28084.419921875,0
2025-12-22 02:30:00+00:00,28160.259765625,28165.529296875,28082.7109375,28082.7109375,0
2025-12-22 03:00:00+00:00,28164.970703125,28168.75,28116.900390625,28116.900390625,0
2025-12-22 03:30:00+00:00,28113.220703125,28165.779296875,28111.169921875,28162.83984375,0
2025-12-22 04:00:00+00:00,28066.009765625,28159.900390625,28060.80078125,28115.9296875,0
2025-12-22 04:30:00+00:00,28114.19921875,28160.0703125,28063.80078125,28065.259765625,0
2025-12-22 05:00:00+00:00,28122.900390625,28164.23046875,28106.66015625,28110.869140625,0
2025-12-23 01:00:00+00:00,28223.109375,28298.130859375,28212.83984375,28253.140625,0
2025-12-23 01:30:00+00:00,28333.060546875,28333.060546875,28220.390625,28262.9296875,0
